ax,ay,az,gx,gy,gz,d1,d2,d3,d4,target
7215,-4876,12871,-2131,-1491,813,456.0,430.0,588.0,618.0,0
7075,-4976,13067,-1872,-1657,360,456.0,442.0,603.0,618.0,0
7207,-4684,13111,-1929,-2056,20,461.0,438.0,588.0,611.0,0
7587,-5036,12595,-1640,-2573,-352,451.0,417.0,588.0,611.0,0
7971,-5016,12475,-1538,-2773,-666,461.0,391.0,588.0,611.0,0
8391,-5036,12307,-1333,-2912,-668,461.0,421.0,596.0,611.0,0
8787,-5052,11767,-943,-2759,-619,485.0,442.0,596.0,618.0,0
9407,-5076,11563,-800,-2615,-490,456.0,417.0,596.0,611.0,0
9895,-5048,11211,-477,-2074,-261,456.0,413.0,588.0,611.0,0
9987,-5360,10915,-384,-1186,47,451.0,402.0,596.0,611.0,0
9951,-5516,10875,-72,-379,357,456.0,451.0,603.0,611.0,0
9887,-5672,10871,440,244,578,456.0,430.0,596.0,611.0,0
10003,-5560,11143,564,777,777,456.0,421.0,596.0,611.0,0
9707,-5704,11363,561,916,948,470.0,434.0,596.0,611.0,0
9435,-5932,11895,772,719,848,461.0,442.0,611.0,603.0,0
8939,-6100,12443,1086,190,750,461.0,425.0,596.0,611.0,0
8675,-5792,12855,1263,-420,614,456.0,421.0,588.0,611.0,0
8339,-5604,12999,1123,-857,450,461.0,438.0,596.0,618.0,0
8251,-5612,13019,997,-1182,261,461.0,417.0,596.0,611.0,0
8319,-5480,12935,1096,-1535,120,456.0,430.0,596.0,618.0,0
8507,-5192,13371,1254,-1471,8,461.0,434.0,596.0,611.0,0
8391,-4984,12963,1260,-1246,68,461.0,434.0,588.0,618.0,0
8663,-4976,12983,1001,-784,66,456.0,421.0,588.0,611.0,0
8723,-5064,12575,937,-167,17,456.0,421.0,596.0,618.0,0
8751,-5136,12779,825,495,-65,456.0,413.0,596.0,618.0,0
8619,-5276,12659,818,795,-82,456.0,456.0,596.0,611.0,0
8447,-5164,12855,1120,1066,-350,456.0,417.0,588.0,618.0,0
8403,-4848,12699,1053,1089,-299,456.0,402.0,596.0,618.0,0
8319,-4892,12843,999,960,-435,456.0,434.0,588.0,618.0,0
8607,-4844,13035,924,762,-497,456.0,447.0,596.0,611.0,0
8307,-4768,13279,833,680,-433,461.0,438.0,588.0,611.0,0
8327,-4880,13235,789,361,-423,456.0,421.0,596.0,611.0,0
8671,-4904,13071,699,199,-470,456.0,421.0,588.0,611.0,0
8531,-4856,13175,521,272,-531,451.0,413.0,581.0,618.0,0
8415,-4972,13075,408,109,-544,456.0,442.0,596.0,611.0,0
8587,-5116,13007,423,-87,-577,456.0,438.0,596.0,611.0,0
